x;y;t
0.0;0.0;0.0
0.17782771587371826;-0.4394854009151459;0.15075376629829407
0.2865694463253021;-0.9075266122817993;0.30150753259658813
0.3380599617958069;-1.4077259302139282;0.4522612988948822
0.3626439571380615;-1.924753189086914;0.6030150651931763
0.3836618661880493;-2.4276959896087646;0.7537688612937927
0.4157954156398773;-2.8857319355010986;0.9045225977897644
0.4735419452190399;-3.282379627227783;1.0552763938903809
0.572921097278595;-3.6157853603363037;1.2060301303863525
0.7227445244789124;-3.891421318054199;1.3567838668823242
0.9101758003234863;-4.116810321807861;1.5075377225875854
1.0996369123458862;-4.300293922424316;1.6582914590835571
1.258893370628357;-4.452672004699707;1.8090451955795288
1.3794879913330078;-4.586479663848877;1.95979905128479
1.470529317855835;-4.713055610656738;2.1105527877807617
1.5465030670166016;-4.8413777351379395;2.2613065242767334
1.6214267015457153;-4.977903366088867;2.412060260772705
1.7067447900772095;-5.125643253326416;2.5628139972686768
1.8089125156402588;-5.281792640686035;2.7135677337646484
1.925971269607544;-5.435558795928955;2.864321708679199
2.047881841659546;-5.57097864151001;3.015075445175171
2.1639413833618164;-5.675443649291992;3.1658291816711426
2.268883228302002;-5.7450690269470215;3.3165829181671143
2.36238431930542;-5.782704830169678;3.467336654663086
2.446439504623413;-5.793694496154785;3.6180903911590576
2.5236732959747314;-5.783167839050293;3.7688441276550293
2.596620559692383;-5.755021572113037;3.91959810256958
2.667487144470215;-5.711775302886963;4.070351600646973
2.738074541091919;-5.6547651290893555;4.221105575561523
2.8097622394561768;-5.584420204162598;4.371859073638916
2.8835062980651855;-5.500552177429199;4.522613048553467
2.9598493576049805;-5.40263557434082;4.673367023468018
3.0389516353607178;-5.290084362030029;4.82412052154541
3.1206374168395996;-5.162525177001953;4.974874496459961
3.204462766647339;-5.020053386688232;5.1256279945373535
3.289789915084839;-4.863447666168213;5.276381969451904
3.375866413116455;-4.694293975830078;5.427135467529297
3.4618966579437256;-4.514976978302002;5.577889442443848
3.5471081733703613;-4.328513145446777;5.728643417358398
3.630807876586914;-4.138248443603516;5.879396915435791
3.71242618560791;-3.9474809169769287;6.030150890350342
3.7915451526641846;-3.75911021232605;6.180904388427734
3.8679039478302;-3.575392246246338;6.331658363342285
3.941385507583618;-3.3978326320648193;6.482411861419678
4.011981010437012;-3.2272086143493652;6.6331658363342285
4.079747200012207;-3.063676357269287;6.783919811248779
4.144749641418457;-2.906914472579956;6.934673309326172
4.207015037536621;-2.756270170211792;7.085427284240723
4.266467094421387;-2.6108853816986084;7.236180782318115
4.322872638702393;-2.4697988033294678;7.386934757232666
4.3757643699646;-2.3320248126983643;7.537688255310059
4.4243621826171875;-2.196619987487793;7.688442230224609
4.4674577713012695;-2.0627455711364746;7.83919620513916
4.503272533416748;-1.9297372102737427;7.989949703216553
4.529272079467773;-1.7971998453140259;8.140703201293945
4.541950702667236;-1.6651349067687988;8.291457176208496
4.536645412445068;-1.5341157913208008;8.442211151123047
4.507591247558594;-1.4054932594299316;8.592965126037598
4.448706150054932;-1.2815700769424438;8.743718147277832
4.355931282043457;-1.1655890941619873;8.894472122192383
4.2314300537109375;-1.0613455772399902;9.045226097106934
4.087130069732666;-0.9723341464996338;9.195980072021484
3.9421470165252686;-0.9005568623542786;9.346734046936035
3.813666343688965;-0.8456314206123352;9.49748706817627
3.7100512981414795;-0.8051676154136658;9.64824104309082
3.6314404010772705;-0.7760273218154907;9.798995018005371
3.573875665664673;-0.755294144153595;9.949748992919922
3.5325210094451904;-0.7406324148178101;10.100502967834473
